feature_set,model,n_features,ml_sample_mae,ml_subject_mae,state_age_sample_mae,state_age_subject_mae,gain_sample,gain,sample_gap_mae,subject_gap_mae,sample_gap_rmse,subject_gap_rmse,state_age_vs_true_mae,state_age_vs_true_corr,state_age_std,state_age_min,state_age_max,status,note
C5_first_order_texture_morphology,elasticnet,193,9.443094010614102,9.268909125620466,9.436699170813508,9.234249469395598,6.775224887622404,6.800892571334065,2.667869122991698,2.468016554286401,8.063536434825755,5.2508289260545045,9.436699170813508,0.659391014056985,11.93182091837337,-51.21385281695984,180.81906451999347,ok,
B5_first_order_plus_texture,elasticnet,168,9.443094010614102,9.268909125620466,9.608457172322122,9.38211321251241,6.619001316175851,6.745328339310383,2.824092694438251,2.5235807863100823,6.513411221740942,4.488082175276977,9.608457172322122,0.5944425024792737,12.746259344204358,-134.3294500180981,293.1808907555638,ok,
E4_full_plus_metadata,elasticnet,317,9.443094010614102,9.268909125620466,9.272703334704387,9.006139985312037,6.412342322704647,6.674484544815958,3.030751687909455,2.5944245808045077,8.771890576461075,5.73477453438726,9.272703334704387,0.667631692554418,12.509720695045894,-9.598258153469423,229.8361711910557,ok,
B4_texture_only,elasticnet,144,9.443094010614102,9.268909125620466,9.643007619167859,9.369048921894219,6.171345513968891,6.402471517031165,3.2717484966452104,2.8664376085893015,9.739097705406214,6.2942916385201695,9.643007619167859,0.5923183833529011,12.828204201043475,20.324859926750555,352.6886578684779,ok,
D4_roi_plus_partition,elasticnet,132,9.443094010614102,9.268909125620466,10.406133839930654,10.162490590806726,3.752738573660772,4.1455570034538,5.69035543695333,5.123352122166666,13.518170688476687,9.166640644581491,10.406133839930654,0.5908028743443221,9.94458286644198,-21.654133219931502,98.95678014791685,ok,
A2_roi_first_order,elasticnet,12,9.443094010614102,9.268909125620466,10.914585864819648,10.840700405218563,3.535341846604851,3.7213398822672357,5.907752164009251,5.54756924335323,11.045919711939394,8.29799996826151,10.914585864819648,0.5477471981859554,9.148438916324915,-36.07117666929264,82.24525461532541,ok,
A1_ei_only_baseline,elasticnet,1,9.443094010614102,9.268909125620466,11.056694219902463,10.993336483529692,3.2488236398702357,3.460240970260833,6.194270370743866,5.808668155359633,12.266508163054574,8.971411802093805,11.056694219902463,0.5429508961114643,8.672231925852945,30.37666681515043,80.40491307320448,ok,
E3_texture_plus_metadata,ridge,148,9.443094010614102,9.268909125620466,9.571149365033508,9.337577878116555,6.762566290944629,6.998353587884274,2.680527719669473,2.270555537736191,9.875299381746514,6.088877070480035,9.571149365033508,0.564119425230273,13.84251192060267,18.875353619572458,446.7739419888927,ok,
B5_first_order_plus_texture,ridge,168,9.443094010614102,9.268909125620466,9.649751243189042,9.433442682820763,6.474471952114163,6.588241598811662,2.9686220584999385,2.680667526808804,7.152892104323335,4.909096086573403,9.649751243189042,0.5444348627535553,13.846895514028171,-128.21906198746836,423.6932949553613,ok,
B4_texture_only,ridge,144,9.443094010614102,9.268909125620466,9.679088358837442,9.429718691811528,6.202449024053269,6.375272179256694,3.2406449865608327,2.8936369463637726,10.193494623215233,6.546134417384962,9.679088358837442,0.5430262251815065,13.83355979732448,18.65010407592837,459.3110862606467,ok,
C5_first_order_texture_morphology,ridge,193,9.443094010614102,9.268909125620466,9.416118232439013,9.11272116565551,6.1659810632564085,6.33615489647671,3.277112947357694,2.932754229143756,7.8649578476220166,5.416831430597764,9.416118232439013,0.6528362283249145,12.583342555719353,-79.68539819651338,205.15231871094804,ok,
E4_full_plus_metadata,ridge,317,9.443094010614102,9.268909125620466,9.231134052183833,8.831266516003282,5.639006226007769,6.0527355098540525,3.8040877846063332,3.216173615766414,9.1124000896189,6.11231819934102,9.231134052183833,0.6863219198577222,12.754645569874585,-39.789537507476766,143.37035256533122,ok,
B1_glcm_only,ridge,96,9.443094010614102,9.268909125620466,9.701823724095133,9.458004173312442,5.229227611202269,5.58001929216455,4.213866399411833,3.688889833455916,12.683401799469998,8.08442657486966,9.701823724095133,0.6440764687334457,11.419272940849053,-88.93287779213739,89.17133863147403,ok,
B2_lbp_only,ridge,20,9.443094010614102,9.268909125620466,10.034505429363996,9.904883247907657,5.30434636511767,5.538341812205772,4.138747645496432,3.730567313414694,10.588990777275448,7.171088731969703,10.034505429363996,0.630511061619796,10.510587830771637,25.34054174876659,156.6410492078641,ok,
B3_glrlm_glszm_only,ridge,28,9.443094010614102,9.268909125620466,10.550083727918626,10.342719708223525,4.4785521744427,4.861989009179503,4.964541836171402,4.406920116440963,11.19149315489636,7.652001378189651,10.550083727918626,0.5709731464038799,10.306605783086681,24.94739005523733,146.52057301320906,ok,
E2_first_order_plus_metadata,ridge,16,9.443094010614102,9.268909125620466,10.366080439560335,10.290320832188947,4.366630890722407,4.633358977195562,5.076463119891695,4.635550148424904,11.19890959074271,7.762047300236913,10.366080439560335,0.6126874837974209,10.041372847236296,11.792780216463534,83.06841943094207,ok,
C4_first_order_plus_morphology,ridge,37,9.443094010614102,9.268909125620466,10.382544514096889,10.237233502627866,4.29876702447044,4.524499476075069,5.144326986143662,4.744409649545397,12.347842151616346,8.440556937774366,10.382544514096889,0.6076089714798167,9.984168600778279,24.839073527046978,101.63973277004939,ok,
A4_roi_plus_whole_first_order,ridge,24,9.443094010614102,9.268909125620466,10.500952148678435,10.351238133931025,4.224114827090702,4.464892635965868,5.2189791835234,4.804016489654598,10.835532693026256,7.69338648169714,10.500952148678435,0.585249574182544,9.907128406113893,-18.563366805524034,77.94951050683319,ok,
A3_whole_first_order,ridge,12,9.443094010614102,9.268909125620466,10.568382150189775,10.423618058004994,3.9910402889715266,4.2691405817250345,5.452053721642575,4.999768543895431,11.915000205564715,8.253639490202984,10.568382150189775,0.5813607870539992,9.421704528946638,28.94708624984481,83.65767239700457,ok,
D4_roi_plus_partition,ridge,132,9.443094010614102,9.268909125620466,10.447411037352104,10.164363107817573,3.6608538136917845,4.091324326987215,5.782240196922317,5.177584798633251,14.013558828897633,9.410789844468328,10.447411037352104,0.5826905306079629,10.23952753420961,-55.82738658759833,108.01193945885112,ok,
D3_partition_first_order_plus_partition_texture,ridge,120,9.443094010614102,9.268909125620466,10.42548051099444,10.148030573458053,3.33165478146634,3.7970727577677135,6.111439229147762,5.471836367852752,13.314389920982855,9.291983166081465,10.42548051099444,0.5808954639726482,10.140393727846499,-39.52082992960202,85.09215646126498,ok,
A2_roi_first_order,ridge,12,9.443094010614102,9.268909125620466,10.920118852736378,10.840715292900878,3.504686098602728,3.6998280325297097,5.938407912011374,5.569081093090756,11.417090592607062,8.432957778608284,10.920118852736378,0.552183666197676,9.030198220954416,-12.77980595891227,78.79418223364092,ok,
A1_ei_only_baseline,ridge,1,9.443094010614102,9.268909125620466,11.05534428013486,10.99191746092073,3.2493920521307125,3.461187115235001,6.1937019584833894,5.807722010385465,12.266135239690579,8.971327094182573,11.05534428013486,0.543034630872891,8.686511894216752,30.387376562585025,80.44942229010351,ok,
D1_partition_first_order_depth,ridge,48,9.443094010614102,9.268909125620466,10.730375323831812,10.54254884570798,2.94646457070795,3.355644100451669,6.496629439906152,5.913265025168797,13.083293133316136,9.505629862645723,10.730375323831812,0.5563908922908012,9.498839327474503,18.616662501846143,79.7915465664943,ok,
D2_partition_first_order_width,ridge,48,9.443094010614102,9.268909125620466,10.953614972318821,10.79752737994791,2.8504208030279337,3.1676496786235058,6.592673207586168,6.10125944699696,12.61963241285507,9.44364692580007,10.953614972318821,0.5386782866430337,9.003098088393616,23.442856708614716,85.87830484623038,ok,
A5_depthnorm_roi_first_order,ridge,8,9.443094010614102,9.268909125620466,11.313782805346904,11.066940926593407,2.0992807351051628,2.503118265529184,7.343813275508939,6.765790860091282,13.377527326848384,10.222391350537112,11.313782805346904,0.5019030695988068,8.171860553482828,23.875094016055282,93.53274033271529,ok,
C3_morphology_only,ridge,25,9.443094010614102,9.268909125620466,12.50534717164162,12.389521745172711,0.7243508867645989,0.8514638484023163,8.718743123849503,8.41744527721815,14.266587919667572,11.719961538076607,12.50534717164162,0.2868078490760144,5.694272548270012,31.38431643734404,153.55366387103822,ok,
C2_morphology_depth_position,ridge,8,9.443094010614102,9.268909125620466,12.55709089163986,12.462645209037278,0.5576055612813118,0.7149372115639636,8.88548844933279,8.553971914056502,14.58743918632985,11.872102639932498,12.55709089163986,0.2903137805377144,4.980259302756592,25.830823984888838,96.40013073483047,ok,
E1_metadata_only,ridge,4,9.443094010614102,9.268909125620466,12.818455633099457,12.84082106590904,0.31257772889037483,0.36444181102972095,9.130516281723727,8.904467314590745,14.95238946092916,12.281757787006327,12.818455633099457,0.21418754841017706,3.7754280067593964,44.630350792925775,70.0430693861222,ok,
C1_morphology_basic,ridge,17,9.443094010614102,9.268909125620466,13.324505103174193,13.283540046467952,-0.05241700623406231,-0.010567147362369411,9.495511016848164,9.279476272982835,15.744708577231407,12.993421318172937,13.324505103174193,0.015265641216568246,11.072910839524067,45.13741456001969,603.2437035950563,ok,
